filename, language, JSON, YAML, Properties, XML, PHP, JavaScript, Markdown, CSS, SCSS, SVG, HTML, comment, blank, total
c:\laragon\www\cms\Modules\UserCustomFields\Resources\views\layouts\master.blade.php, PHP, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
c:\laragon\www\cms\Modules\UserCustomFields\Routes\api.php, PHP, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 3, 18
c:\laragon\www\cms\Modules\UserCustomFields\Routes\web.php, PHP, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 10, 1, 19
c:\laragon\www\cms\Modules\UserCustomFields\composer.json, JSON, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
c:\laragon\www\cms\Modules\UserCustomFields\module.json, JSON, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
c:\laragon\www\cms\Modules\UserCustomFields\package.json, JSON, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
c:\laragon\www\cms\Modules\UserCustomFields\webpack.mix.js, JavaScript, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
c:\laragon\www\cms\README.md, Markdown, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 20, 79
c:\laragon\www\cms\_ide_helper.php, PHP, 0, 0, 0, 0, 6280, 0, 0, 0, 0, 0, 0, 13461, 1694, 21435
c:\laragon\www\cms\app\Console\Kernel.php, PHP, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 19, 7, 43
c:\laragon\www\cms\app\Dashboard.php, PHP, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
c:\laragon\www\cms\app\Events\Categories\CategoryCreateEvent.php, PHP, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 10, 7, 41
c:\laragon\www\cms\app\Events\Categories\CategoryDestroyEvent.php, PHP, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 7, 36
c:\laragon\www\cms\app\Events\Categories\CategoryUpdateEvent.php, PHP, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 10, 7, 41
c:\laragon\www\cms\app\Events\Pages\PageCreateEvent.php, PHP, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
c:\laragon\www\cms\app\Events\Pages\PageDestroyEvent.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
c:\laragon\www\cms\app\Events\Pages\PageUpdateEvent.php, PHP, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
c:\laragon\www\cms\app\Events\Posts\PostCreateEvent.php, PHP, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
c:\laragon\www\cms\app\Events\Posts\PostDestroyEvent.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
c:\laragon\www\cms\app\Events\Posts\PostUpdateEvent.php, PHP, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 7, 36
c:\laragon\www\cms\app\Events\Roles\RoleCreateEvent.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
c:\laragon\www\cms\app\Events\Roles\RoleDestroyEvent.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 7, 34
c:\laragon\www\cms\app\Events\Roles\RoleUpdateEvent.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
c:\laragon\www\cms\app\Events\Users\UserBlockEvent.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
c:\laragon\www\cms\app\Events\Users\UserCreateEvent.php, PHP, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
c:\laragon\www\cms\app\Events\Users\UserDestroyEvent.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
c:\laragon\www\cms\app\Events\Users\UserNewPasswordEvent.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
c:\laragon\www\cms\app\Events\Users\UserUpdateEvent.php, PHP, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 8, 32
c:\laragon\www\cms\app\Exceptions\Handler.php, PHP, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 28, 7, 56
c:\laragon\www\cms\app\File.php, PHP, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
c:\laragon\www\cms\app\Helpers\DataArrays.php, PHP, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
c:\laragon\www\cms\app\Helpers\JSON.php, PHP, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
c:\laragon\www\cms\app\Helpers\ViewHelpers.php, PHP, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
c:\laragon\www\cms\app\Http\Controllers\Auth\ConfirmPasswordController.php, PHP, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 20, 7, 41
c:\laragon\www\cms\app\Http\Controllers\Auth\ForgotPasswordController.php, PHP, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
c:\laragon\www\cms\app\Http\Controllers\Auth\LoginController.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 20, 8, 50
c:\laragon\www\cms\app\Http\Controllers\Auth\RegisterController.php, PHP, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 32, 9, 74
c:\laragon\www\cms\app\Http\Controllers\Auth\ResetPasswordController.php, PHP, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 15, 6, 31
c:\laragon\www\cms\app\Http\Controllers\Auth\VerificationController.php, PHP, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 20, 7, 43
c:\laragon\www\cms\app\Http\Controllers\Controller.php, PHP, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
c:\laragon\www\cms\app\Http\Controllers\HomeController.php, PHP, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 5, 29
c:\laragon\www\cms\app\Http\Controllers\admin\DashboardController.php, PHP, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 6, 40
c:\laragon\www\cms\app\Http\Controllers\admin\LogsController.php, PHP, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
c:\laragon\www\cms\app\Http\Controllers\admin\ModulesController.php, PHP, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 6, 28
c:\laragon\www\cms\app\Http\Controllers\admin\PageCategoriesController.php, PHP, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 32, 109
c:\laragon\www\cms\app\Http\Controllers\admin\PagesController.php, PHP, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 1, 31, 124
c:\laragon\www\cms\app\Http\Controllers\admin\PostCategoriesController.php, PHP, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 42, 27, 156
c:\laragon\www\cms\app\Http\Controllers\admin\PostsController.php, PHP, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 36, 130
c:\laragon\www\cms\app\Http\Controllers\admin\RolesController.php, PHP, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 32, 102
c:\laragon\www\cms\app\Http\Controllers\admin\UsersController.php, PHP, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 4, 53, 187
c:\laragon\www\cms\app\Http\Controllers\api\MenusController.php, PHP, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 21, 64
c:\laragon\www\cms\app\Http\Controllers\api\PageCategoriesController.php, PHP, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 25, 77
c:\laragon\www\cms\app\Http\Controllers\api\PagesController.php, PHP, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 22, 77
c:\laragon\www\cms\app\Http\Controllers\api\PostCategoriesController.php, PHP, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 24, 77
c:\laragon\www\cms\app\Http\Controllers\api\PostsController.php, PHP, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 20, 70
c:\laragon\www\cms\app\Http\Controllers\api\RolesController.php, PHP, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 21, 71
c:\laragon\www\cms\app\Http\Controllers\api\UsersController.php, PHP, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 27, 94
c:\laragon\www\cms\app\Http\Kernel.php, PHP, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 27, 8, 86
c:\laragon\www\cms\app\Http\Middleware\AccessMiddleware.php, PHP, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 7, 3, 36
c:\laragon\www\cms\app\Http\Middleware\Authenticate.php, PHP, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 4, 22
c:\laragon\www\cms\app\Http\Middleware\CheckForMaintenanceMode.php, PHP, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
c:\laragon\www\cms\app\Http\Middleware\CorsMiddleware.php, PHP, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 31, 27, 121
c:\laragon\www\cms\app\Http\Middleware\EncryptCookies.php, PHP, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
c:\laragon\www\cms\app\Http\Middleware\JwtMiddleware.php, PHP, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 7, 4, 35
c:\laragon\www\cms\app\Http\Middleware\RedirectIfAuthenticated.php, PHP, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 8, 5, 28
c:\laragon\www\cms\app\Http\Middleware\TrimStrings.php, PHP, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
c:\laragon\www\cms\app\Http\Middleware\TrustProxies.php, PHP, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 10, 5, 24
c:\laragon\www\cms\app\Http\Middleware\VerifyCsrfToken.php, PHP, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 11, 5, 25
c:\laragon\www\cms\app\Http\Requests\CategoriesRequest.php, PHP, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 10, 8, 54
